PLU;Loja;Região;Nome PLU;Nome Depto;Nome Cat;Nome Subcat;Nome Loja;Mês Referencia;Bandeira;VENDA BRUTA MENSAL JUNHO
147644;1;SÃO PAULO;FILE MIGNON S/CORDAOBOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;41.554,00
250474;1;SÃO PAULO;BANANA PRATA GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;38.759,00
287753;1;SÃO PAULO;BATATA GRANEL KG;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;27.912,00
259163;1;SÃO PAULO;MAMAO PAPAYA GOLDEN GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;23.979,00
357593;1;SÃO PAULO;TOMATE ITALIANO KG;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;18.660,00
344661;1;SÃO PAULO;FILE TILAPIA FRESCO KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;June-2019;PA;21.383,00
8378163;1;SÃO PAULO;CERV ORIGINAL GFA 600ML;MERCEARIA;LIQUIDA;CERVEJAS;JARDIM PAULISTA;June-2019;PA;17.756,00
4562375;1;SÃO PAULO;REFRI COCA-COLA ZERO PET 600ML;MERCEARIA;LIQUIDA;REFRIGERANTES;JARDIM PAULISTA;June-2019;PA;21.240,00
250399;1;SÃO PAULO;BANANA NANICA GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;21.205,00
6851675;1;SÃO PAULO;CERV STELLA ARTOIS LTA 269ML;MERCEARIA;LIQUIDA;CERVEJAS;JARDIM PAULISTA;June-2019;PA;21.293,00
449700;1;SÃO PAULO;FILE DE SALMAO PREMIUM KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;June-2019;PA;20.123,00
259385;1;SÃO PAULO;MELAO AMARELO REI KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;17.596,00
219631;1;SÃO PAULO;MAMAO FORMOSA GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;16.685,00
901;1;SÃO PAULO;FILE MIGNON BOV EXTRA LIMPO RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;22.626,00
287760;1;SÃO PAULO;CEBOLA GRANEL KG;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;17.499,00
1165413;1;SÃO PAULO;CERV BUDWEISER GFA 330ML;MERCEARIA;LIQUIDA;CERVEJAS;JARDIM PAULISTA;June-2019;PA;6.717,00
1098826;1;SÃO PAULO;PH NEVE TOQUE DA SEDA L24P21 30M;MERCEARIA;LIMPEZA/DESCARTAVEIS;DESCART HIGIENICOS;JARDIM PAULISTA;June-2019;PA;21.625,00
467414;1;SÃO PAULO;PATINHO BOV ESPECIAL KG - ATEND;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;18.219,00
75008;1;SÃO PAULO;FILE BAC PORTO EXT LIMPO KG;PERECIVEIS;PEIXARIA;BACALHAU;JARDIM PAULISTA;June-2019;PA;2.708,00
474344;1;SÃO PAULO;QJ MIN FCO FAZENDA BELA VISTA;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;June-2019;PA;17.169,00
1260601;1;SÃO PAULO;LOMBO BAC DES S/P S/ESP BACALANOR1K;PERECIVEIS;PEIXARIA;PEIXES CONGELADOS;JARDIM PAULISTA;June-2019;PA;4.004,00
206624;1;SÃO PAULO;PTO PERU DEF SADIA S/C FT - BALCAO;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;June-2019;PA;13.603,00
2172576;1;SÃO PAULO;OVOS CAIP ITO COUNTRY C/10;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;14.307,00
358149;1;SÃO PAULO;AZEI POR EX VIR GALLO VD 500ML;MERCEARIA;MERCEARIA BASICA;OLEOS E AZEITES;JARDIM PAULISTA;June-2019;PA;15.780,00
669252;1;SÃO PAULO;AZEI POR EX VIR ANDORINHA VD 500ML;MERCEARIA;MERCEARIA BASICA;OLEOS E AZEITES;JARDIM PAULISTA;June-2019;PA;13.643,00
1045901;1;SÃO PAULO;LOMBO BAC DES PORTO RIBERALVES 1KG;PERECIVEIS;PEIXARIA;PEIXES CONGELADOS;JARDIM PAULISTA;June-2019;PA;5.505,00
5489176;1;SÃO PAULO;COMBINADO DE SALMAO 220G;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;June-2019;PA;11.887,00
287784;1;SÃO PAULO;TOMATE COMUM GRANEL KG;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;12.153,00
1062412;1;SÃO PAULO;AGUA COCO OBRIGADO TP 1L;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;JARDIM PAULISTA;June-2019;PA;11.456,00
4447665;1;SÃO PAULO;QA COUVE MANT CORTE FINO HIG 180G;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;14.337,00
5489206;1;SÃO PAULO;MEGA COMBINADO DE SALMAO 440G;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;June-2019;PA;11.810,00
227841;1;SÃO PAULO;MANGA PALMER NAC GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;11.803,00
247511;1;SÃO PAULO;LIMAO TAHITI KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;11.468,00
1178752;1;SÃO PAULO;IPHONE XR BLACK 64GB;ELETRO-ELETRONICOS;TELEFONIA;TELEFONIA CELULAR;JARDIM PAULISTA;June-2019;PA;19.495,00
183192;1;SÃO PAULO;PATINHO BOV KG - ATEND. BALCAO;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;12.182,00
295406;1;SÃO PAULO;ALHO GRANEL KG;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;12.977,00
1552744;1;SÃO PAULO;CAFE EXPRESSO ILLY 50 ML;PERECIVEIS;PADARIA E ROTISSERIE;CAFE/LANCHONETE;JARDIM PAULISTA;June-2019;PA;10.948,00
3946350;1;SÃO PAULO;FILE PEITO FGO RESF KORIN 600G;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;June-2019;PA;11.459,00
2136448;1;SÃO PAULO;MORANGO NAC 250G;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;12.251,00
3466506;1;SÃO PAULO;TQ ALFACE AMERICANA ORG TAEQ 250G;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;8.576,00
4911166;1;SÃO PAULO;QA LARANJA PERA 3KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;10.457,00
1080934;1;SÃO PAULO;MOIDA DIANTEIRO 500 GR;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;11.430,00
247023;1;SÃO PAULO;ABACATE GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;11.485,00
1003204;1;SÃO PAULO;LAVA ROUPA LIQ OMO 3LT;MERCEARIA;LIMPEZA/DESCARTAVEIS;LIMPEZA;JARDIM PAULISTA;June-2019;PA;9.961,00
2370880;1;SÃO PAULO;SALSA E CEBOLINHA EMB ED UN;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;9.405,00
2306452;1;SÃO PAULO;CERV STELLA ARTOIS GFA 275ML;MERCEARIA;LIQUIDA;CERVEJAS;JARDIM PAULISTA;June-2019;PA;10.823,00
143745;1;SÃO PAULO;QA QJ MUSS QUALITA FAT;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;June-2019;PA;4.603,00
4749707;1;SÃO PAULO;PH NEVE TOQUE DA SEDA L16 P15 30M;MERCEARIA;LIMPEZA/DESCARTAVEIS;DESCART HIGIENICOS;JARDIM PAULISTA;June-2019;PA;9.676,00
4570271;1;SÃO PAULO;QA TOMATE SWEET GRAPE UVA 180G;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;10.468,00
2093109;1;SÃO PAULO;SOPA PORCAO ESPECIAL FP UN;PERECIVEIS;PADARIA E ROTISSERIE;CAFE/LANCHONETE;JARDIM PAULISTA;June-2019;PA;11.187,00
1178754;1;SÃO PAULO;IPHONE XR WHITE 64GB;ELETRO-ELETRONICOS;TELEFONIA;TELEFONIA CELULAR;JARDIM PAULISTA;June-2019;PA;19.495,00
1191815;1;SÃO PAULO;DET PO OMO LAVAGEM PERFEITA 800G;MERCEARIA;LIMPEZA/DESCARTAVEIS;LIMPEZA;JARDIM PAULISTA;June-2019;PA;11.971,00
4333364;1;SÃO PAULO;ALFACE AMERICANA BOLA EMB ED 250G;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;8.830,00
247399;1;SÃO PAULO;LARANJA PERA GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;9.777,00
4756538;1;SÃO PAULO;TRIO 2 ALF CRESP/ROX/LIS HIDROP EMB;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;8.326,00
337779;1;SÃO PAULO;MANDIOQUINHA (BATATA BAROA)GNEL KG;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;10.435,00
208116;1;SÃO PAULO;QA QJ MUSS QUALITA FAT - BALCAO;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;June-2019;PA;14.918,00
5105809;1;SÃO PAULO;PALMITO BONDUELLE INT PUPUN 520G;MERCEARIA;MERC COMPLEMENTAR;MERCEARIA SALGADA;JARDIM PAULISTA;June-2019;PA;9.026,00
420;1;SÃO PAULO;BABY BEEF BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;9.597,00
1182633;1;SÃO PAULO;SMART MOTO ONE 64GB XT1941 PTO;ELETRO-ELETRONICOS;TELEFONIA;TELEFONIA CELULAR;JARDIM PAULISTA;June-2019;PA;17.972,00
561495;1;SÃO PAULO;CAFE VACUO MELITTA TRAD 500 GR;MERCEARIA;MERCEARIA BASICA;CAFE;JARDIM PAULISTA;June-2019;PA;6.376,00
250719;1;SÃO PAULO;CAFE TM PILAO TRAD 500 GR;MERCEARIA;MERCEARIA BASICA;CAFE;JARDIM PAULISTA;June-2019;PA;10.011,00
