PLU;Loja;Região;Nome PLU;Nome Depto;Nome Cat;Nome Subcat;Nome Loja;Mês Referencia;Bandeira;VENDA BRUTA MENSAL
277;1;SÃO PAULO;PAO CASEIRO;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;0
352;1;SÃO PAULO;BIFE PARA ROLE (CX DURO BOV RF) KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;1377
376;1;SÃO PAULO;CONTRA FILE BOV RESF BIFE KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;3861
383;1;SÃO PAULO;PAO MILHO FP;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;0
413;1;SÃO PAULO;ASSADO AMERICANO BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
420;1;SÃO PAULO;BABY BEEF BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;8457
444;1;SÃO PAULO;BIFE PARIS BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;662
475;1;SÃO PAULO;TIRAS COXAO MOLE BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;742
536;1;SÃO PAULO;CARNE P/ MOLHO BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;1540
611;1;SÃO PAULO;COSTELA SUINA CONG KG;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;0
789;1;SÃO PAULO;RABADA BOVINO KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;484
796;1;SÃO PAULO;QJ SAINT PAULIN SERRA DAS ANTAS KG;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;207
802;1;SÃO PAULO;CORACAO BOVINO KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
826;1;SÃO PAULO;BUCHO BOVINO KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;365
833;1;SÃO PAULO;MOCOTO BOV CONG KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
871;1;SÃO PAULO;FAUX FILE BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;114
888;1;SÃO PAULO;BIFE FIGADO BOVINO KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;409
901;1;SÃO PAULO;FILE MIGNON BOV EXTRA LIMPO RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;14251
956;1;SÃO PAULO;BISTECA SUINA CONG KG;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;0
987;1;SÃO PAULO;FILE PEITO FGO RESF SEARA BDJ KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;1771
1106;1;SÃO PAULO;GALETO CONG K;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;438
1250;1;SÃO PAULO;LINGUA BOVINO KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
1281;1;SÃO PAULO;COXA FRANGO RESF K;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;229
1298;1;SÃO PAULO;MAMINHA BOV RESF ESPECIAL KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;2558
1304;1;SÃO PAULO;MEDALHAO FILE MIGNOM BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;8968
1311;1;SÃO PAULO;PEITO FGO C/OSSO RESF KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;1603
1335;1;SÃO PAULO;QJ PRATO NAC PED KG;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
1403;1;SÃO PAULO;ARROZ INTEGRAL FP;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;680
1809;1;SÃO PAULO;FRALDINHA EXTRA LIMPA BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;1540
1847;1;SÃO PAULO;ROAST BEEF BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
1854;1;SÃO PAULO;RUMP STEAK ALCATRA BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;1130
1915;1;SÃO PAULO;CARNE P/ STROGONOFF DE FILE MIGNON;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;4205
2011;1;SÃO PAULO;TOURNEDOS FILE MIGNON BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
2080;1;SÃO PAULO;POSTA MEKA FRESCA KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;0
2141;1;SÃO PAULO;QJ CABRA FRESCAL PAULOCAPRI;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;622
2226;1;SÃO PAULO;QJ REINO MB PECA PED;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
2493;1;SÃO PAULO;FILE MIGNON SUINO CONG KG;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;389
